제목,시간,별점,날짜,본문,연수 분야,가격,대상
성호쌤과 함께하는 랜선 박물관 여행,30,5점,2024.06.03,"알차고 재미있는 연수였습니다.
앞으로 박물관 가는 것이 더…",자기계발,"70,000 원",초등 중등 교육전문직 일반
성호쌤과 함께하는 랜선 박물관 여행,30,5점,2024.05.20,인문학적 지식이 쑥쑥 자라는 훌륭한 연수였습니다.,자기계발,"70,000 원",초등 중등 교육전문직 일반
성호쌤과 함께하는 랜선 박물관 여행,30,4점,2024.04.03,어렵지 않고 유익합니다.,자기계발,"70,000 원",초등 중등 교육전문직 일반
기후변화 이야기,15,5점,2024.05.27,알면 알수록 위기가 느껴지면서 불안감이 높아지는 내용입니다.…,자기계발,"40,000 원",전체
기초영어 회화 핵심표현 Real Speaking 1,15,5점,2024.05.27,"연수가 아주 유익합니다. 티셀파 연수원 영어연수들을 들으며
…",어학,"40,000 원",전체
당장 따라 할 수 있는 사계절 학급운영+이벤트,15,5점,2024.05.25,학급경영의 여러 노하우를 전수받아 당장해보고 싶어졌어요~~,학급경영,"40,000 원",전체
"하루 20분, 상황별 생활영어회화 2",15,5점,2024.05.23,상황별 생활영어 1편 듣고 또 듣습니다. 연수 내용이 알차서…,어학,"40,000 원",전체
"하루 20분, 상황별 생활영어회화 2",15,5점,2024.04.11,실생활에서 활용 가능한 영어회화를 쉽고 재미있게 공부할 수 …,어학,"40,000 원",전체
메디컬 콘서트 1탄 - 현대인의 만성 질병,15,5점,2024.05.23,나를 잘 돌보는 것의 중요성을 알았어요!,인문교양,"40,000 원",전체
온작품 읽기와 그림을 활용한 깊이 있는 수업,15,5점,2024.05.23,온작품 읽기 활용수업에 자신감이 생겼어요!,교과수업,"40,000 원",전체
초등 저학년 남학생 탐구생활,15,5점,2024.05.23,이제 남학생을 더 잘 이해하고 그에 맞게 지도할 수 있을 것…,생활지도,"40,000 원",유치 초등
초등 저학년 남학생 탐구생활,15,5점,2024.04.17,저학년 학생들의 행동과 특성을 이해하는데 도움이 되었습니다.,생활지도,"40,000 원",유치 초등
교사 자존감 수업,15,5점,2024.05.23,자존감이 떨어질 때마다 복습해서 듣고 싶은 강의였습니다. 교…,자기계발,"40,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,5점,2024.05.22,입시를 치룬다고 해서 오래 전에 배웠던 내용이 새록새록 떠오…,자기계발,"70,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,5점,2024.05.20,과학지도 역량을 아주 많이 키울 수 있는 연수입니다.,자기계발,"70,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,3점,2024.04.16,재미있는 연수였습니다.,자기계발,"70,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,5점,2024.04.13,"중학교 과학교사로서 물리, 화학, 지구과학, 생명과학을 아우…",자기계발,"70,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,5점,2024.03.29,오랜만에 본가에 가서 국민학교 때 보던 과학만화 전집을 펼쳐…,자기계발,"70,000 원",전체
세상에서 제일 쉬운 과학 이야기,30,5점,2023.12.22,어려운 과학 이야기를 이해하기 쉽게 풀어서 설명해주시어 재미…,자기계발,"70,000 원",전체
기초영어 회화 핵심표현 Real Speaking,30,5점,2024.05.21,영어를 쭈욱 배워왔고 공부한 기간도 길어서 나름 영어에 대한…,어학,"70,000 원",전체
기초영어 회화 핵심표현 Real Speaking,30,5점,2024.04.09,저는 영어를 좋아하고 오래 공부한 사람이라서 조금 쉽게 느껴…,어학,"70,000 원",전체
교과수업에 활용하는 진로교육,30,5점,2024.05.20,학교에서 점점 진로지도가 중요해지는 것 같아요. 진로지도 역…,교과수업,"70,000 원",초등 중등 교육전문직
교과수업에 활용하는 진로교육,30,5점,2024.05.13,진로교육에 많은 도움을 주는 최고의 연수였습니다.^^,교과수업,"70,000 원",초등 중등 교육전문직
교과수업에 활용하는 진로교육,30,5점,2024.03.26,교과수업에 활용하는 진로교육을 듣고 직접 준비물을 사고 아이…,교과수업,"70,000 원",초등 중등 교육전문직
"하루 20분, 상황별 생활영어회화",15,5점,2024.05.20,선생님 감사합니다. 생활영어 실력이 쑥쑥 자라나는 너무 좋은…,어학,"40,000 원",전체
"하루 20분, 상황별 생활영어회화",15,5점,2024.04.05,국외 여행지에서 서툰 영어 표현을 보완하고자 본 연수를 선택…,어학,"40,000 원",전체
지리와 함께하는 인문학 티타임,30,5점,2024.05.20,인문학 소양을 기르는데 있어서 정말 완벽한 연수입니다.,자기계발,"70,000 원",전체
지리와 함께하는 인문학 티타임,30,5점,2024.04.22,평소 개인적인 인문학적 소양이 부족하다고 생각하여 듣기 시작…,자기계발,"70,000 원",전체
지리와 함께하는 인문학 티타임,30,5점,2024.04.22,기대 이상 재밌고 유익한 내용이었습니다~ 추천할만한 연수였습…,자기계발,"70,000 원",전체
지리와 함께하는 인문학 티타임,30,1점,2024.04.12,연수 후기가 좋아서 신청했는데 첫 강의부터 너무나 티나게 진…,자기계발,"70,000 원",전체
지리와 함께하는 인문학 티타임,30,5점,2024.03.29,사회교사로서 학생들에게 생각해볼 거리를 제공해주는 유익한 연…,자기계발,"70,000 원",전체
지리와 함께하는 인문학 티타임,30,4점,2024.01.17,지리와 관련된 내용들이 생소하였는데 쉽게 접할 수 있었습니다…,자기계발,"70,000 원",전체
메이슨의 Travel English,30,5점,2024.05.20,연수 너무 재미있게 들었습니다. 감사합니다 메이슨 선생님,어학,"70,000 원",전체
메이슨의 Travel English,30,5점,2024.04.29,"여름방학 떠나게 될 해외여행을 생각하며, 이번에는 여행지에서…",어학,"70,000 원",전체
메이슨의 Travel English,30,5점,2024.03.13,여행 가기 전에 필요한 표현들 학습하면 도움이 됩니다. 유용…,어학,"70,000 원",전체
메이슨의 Travel English,30,4점,2024.02.03,여행영어의 이런저런 상황에 맞는 강의는 매우 만족합니다만 연…,어학,"70,000 원",전체
메이슨의 Travel English,30,5점,2023.12.21,미국 여행 앞두고 신청한 연수였는데 공항에서부터 가서 물건 …,어학,"70,000 원",전체
초등학생 탐구생활,30,5점,2024.05.20,나날이 달라져가는 학생들을 나의 감정도 학생들의 감정도 다치…,생활지도,"70,000 원",초등
초등학생 탐구생활,30,5점,2024.05.20,"교직생활 중 여러 연수들을 들어봤지만, 이렇게 실질적으로 도…",생활지도,"70,000 원",초등
초등학생 탐구생활,30,5점,2024.04.09,학생들을 오랫동안 담임하면서도 학생의 행동의 원인을 이해하기…,생활지도,"70,000 원",초등
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.05.20,"노션에 대해서 궁금했는데

원격수업 아니라도 교육현장에서 지…",ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.05.11,노션 사용법을 알고 싶었는데 학교업무와 수업에 적용할수 있는…,ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.05.07,메모를 좋아하는 저에게 좋은 연수였습니다. 체계적으로 정리하…,ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.05.02,노션이 무엇인지 궁금했는데 해결 방법을 알게 되어서 매우 알…,ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.04.24,노션의 다양한 기능에 대해 알수있어서 좋았어요,ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.04.09,요즘은 대면수업이라 줌 활용도가 낮지만 그래도 알지 못했던 …,ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2024.03.16,"코로나로 인해 우리 교육환경이 많이 변화했습니다.
온-오프…",ICT정보화,"70,000 원",전체
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,30,5점,2023.12.26,"노션을 써보고는 싶었는데 생각보다 허들이 높더라구요.

…",ICT정보화,"70,000 원",전체
강의의 품격,30,5점,2024.05.18,T셀파 연수원의 강의들은 수준이 높아서 열강하고 주변에도 열…,자기계발,"70,000 원",전체
초등 고학년 탐구생활,15,5점,2024.05.14,고학년 학생지도에 실질적인 도움이 되는 내용으로만 구성되어 …,생활지도,"40,000 원",초등
나도 할 수 있다! 현장연구와 SPSS,30,5점,2024.05.13,연구활동에 관해 많은 것을 배울수 있었습니다.,자기계발,"70,000 원",전체
나도 할 수 있다! 현장연구와 SPSS,30,5점,2024.01.14,현장연구보고서뿐만 아니라 다른 보고서를 작성할 때도 알아두면…,자기계발,"70,000 원",전체
나도 할 수 있다! 현장연구와 SPSS,30,5점,2023.12.25,현장연구를 바라보는 눈을 키울 수 있던 좋은시간이었습니다,자기계발,"70,000 원",전체
"행복한 학급 만들기, 학생과 교사 자존감 수업",30,5점,2024.05.11,다만 강의 내용 특성상 분량을 줄이고 핵심적인 내용을 다루는…,자기계발,"70,000 원",전체
"행복한 학급 만들기, 학생과 교사 자존감 수업",30,5점,2024.05.09,수업을 하다보면 학생들이 교사의 생각대로 행동하지 않고 함부…,자기계발,"70,000 원",전체
